ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
10337.0,O(C)C1=C(c2cc(O)c(O)cc2)Oc2c(c(O)c3OCOc3c2)C1=O,NAPROC-13,8,3,2.3141,118.59,344.27499,0.11764706,25,4,8,2,0,1,2,1,3,0,12,0,0,0,0,0,0,8,0,0.071428575,0,0
10338.0,O(C)C1=C(c2ccccc2)Oc2c3c(occ3)ccc2C1=O,NAPROC-13,4,0,4.2147999,52.580002,292.29001,0.055555556,22,4,4,2,0,0,2,2,4,0,15,0,0,0,0,0,0,4,0,0.079999998,0,0
10339.0,O(C)C1=C(c2c(C=CC(C)C)c(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O,NAPROC-13,7,4,3.9602001,120.36,384.384,0.19047619,28,3,7,4,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0,0.13333334,0,0
10340.0,O(C)C1=C(c2cc(O)c(O)cc2)Oc2c(CC=C(C)C)c3OC(C)(C)C=Cc3c(O)c2C1=O,NAPROC-13,7,3,5.2782998,109.36,450.487,0.26923078,33,4,7,4,0,1,2,1,3,0,12,0,0,0,0,0,0,7,0,0.11111111,0,0
10341.0,O(C)C1=C(c2cc(O)c(O)cc2)Oc2c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c2C1=O,NAPROC-13,7,4,5.3084002,120.36,452.50299,0.26923078,33,3,7,6,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0,0.17142858,0,0
10344.0,O(C)c1ccc(C2=C(OC)C(=O)c3c(O)cc(O)c(C(C)c4ccc(O)cc4)c3O2)cc1,NAPROC-13,7,3,4.7458,109.36,434.444,0.16,32,4,7,5,0,0,3,1,4,0,18,0,0,0,0,0,0,7,0,0.14285715,1,0
10345.0,Clc1c(C2=C(OC)C(=O)c3c(O)cc(O)cc3O2)cccc1,NAPROC-13,5,2,3.5332,79.900002,318.71201,0.0625,22,3,6,2,0,0,2,1,3,0,12,0,0,1,0,0,0,5,0,0.083333336,0,1
10346.0,O(C)c1cc(O)c2C(=O)C=C(C3(O)C=CC(=O)C=C3)Oc2c1,NAPROC-13,6,2,1.3899,96.970001,300.26599,0.125,22,3,6,2,1,0,1,1,2,0,6,0,0,0,0,0,0,6,0,0.083333336,0,0
10347.0,O=C(OC1=C(c2cc(OC)c(OC)c(OC)c2)Oc2c(C1=O)ccc(OC)c2)C,NAPROC-13,8,0,3.4196999,93.43,400.383,0.23809524,29,3,8,6,0,0,2,1,3,0,12,0,0,0,0,0,0,8,0,0.22580644,0,0
10348.0,O=C1C(O)=C(c2c(C=CC(C)C)c(O)c(O)cc2C(C=C)(C)C)Oc2c(CC=C(C)C)c(O)cc(O)c12,NAPROC-13,7,5,6.6294999,131.36,506.595,0.30000001,37,3,7,7,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0,0.17948718,0,0
10349.0,O=C1C(O)=C(c2c(C(C=C)(C)C)cc(O)c3OC(C)(C)C=Cc23)Oc2c(CC=C(C)C)c(O)cc(O)c12,NAPROC-13,7,4,6.4389,120.36,504.57901,0.30000001,37,4,7,5,0,1,2,1,3,0,12,0,0,0,0,0,0,7,0,0.125,0,0
10350.0,O=C1C(O)=C(c2c(O)cc(O)cc2)Oc2c(CC(C(=C)C)CCC(O)(C)C)c(O)cc(O)c12,NAPROC-13,8,6,4.2739,151.59,456.491,0.31999999,33,3,8,7,0,0,2,1,3,0,12,0,0,0,0,0,0,8,0,0.2,1,0
10351.0,O=C1C(O)=C(c2c(O)cc(O)cc2)Oc2c(CC(C(=C)C)CC=C(C)C)c(O)cc(O)c12,NAPROC-13,7,5,5.0791001,131.36,438.47601,0.23999999,32,3,7,6,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0,0.17647059,1,0
10352.0,O=C(Oc1c(OC)ccc(C2=C(OC)C(=O)c3c(OC(=O)C)cc(OC)cc3O2)c1)C,NAPROC-13,9,0,3.3364,110.5,428.39301,0.22727273,31,3,9,6,0,0,2,1,3,0,12,0,0,0,0,0,0,9,0,0.24242425,0,0
10353.0,O=C(Oc1c(OC)cc(C2=C(OC)C(=O)c3c(OC(=O)C)cc(OC(=O)C)cc3O2)cc1)C,NAPROC-13,10,0,3.2530999,127.57,456.40302,0.2173913,33,3,10,6,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.25714287,0,0
10354.0,O=C(Oc1c(OC)cc(C2=C(OC)C(=O)c3c(OC(=O)C)cc(OC)cc3O2)cc1)C,NAPROC-13,9,0,3.3364,110.5,428.39301,0.22727273,31,3,9,6,0,0,2,1,3,0,12,0,0,0,0,0,0,9,0,0.24242425,0,0
10355.0,O=C(Oc1c2C(=O)C(OC)=C(c3cc(OC)c(O)cc3)Oc2cc(OC)c1)C,NAPROC-13,8,1,3.1166999,104.43,386.35599,0.2,28,3,8,5,0,0,2,1,3,0,12,0,0,0,0,0,0,8,0,0.2,0,0
10356.0,O=C(Oc1c2C(=O)C(OC)=C(c3ccc(OC)cc3)Oc2cc(OC)c1)C,NAPROC-13,7,0,3.4110999,84.199997,370.35699,0.2,27,3,7,5,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0,0.20689656,0,0
10357.0,S(=O)(=O)(Oc1cc(O)c2C(=O)C(O)=C(c3ccc(O)cc3)Oc2c1)O,NAPROC-13,8,4,1.7584,154.5,366.30301,0.0,25,3,10,3,0,0,2,1,3,0,12,0,0,0,0,0,0,9,0,0.11111111,0,0
10358.0,S(=O)(=O)(Oc1cc(O)c2C(=O)C(O)=C(c3cc(O)c(O)cc3)Oc2c1)O,NAPROC-13,9,5,1.464,174.73,382.302,0.0,26,3,11,3,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.10714286,0,0
10359.0,S(=O)(=O)(Oc1cc(O)c2C(=O)C(O)=C(c3ccc(OS(=O)(=O)O)cc3)Oc2c1)O,NAPROC-13,10,4,1.2344,197.87,446.367,0.0,29,3,14,5,0,0,2,1,3,0,12,0,0,0,0,0,0,12,0,0.16129032,0,0
10360.0,S(=O)(=O)(Oc1c(O)cc(C2=C(O)C(=O)c3c(O)cc(OS(=O)(=O)O)cc3O2)cc1)O,NAPROC-13,11,5,0.94,218.10001,462.366,0.0,30,3,15,5,0,0,2,1,3,0,12,0,0,0,0,0,0,13,0,0.15625,0,0
10361.0,S(=O)(=O)(Oc1c(O)ccc(C2=C(O)C(=O)c3c(O)cc(O)cc3O2)c1)O,NAPROC-13,9,5,1.464,174.73,382.302,0.0,26,3,11,3,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.10714286,0,0
10362.0,S(=O)(=O)(Oc1c(O)cc(C2=C(OS(=O)(=O)O)C(=O)c3c(O)cc(O)cc3O2)cc1)O,NAPROC-13,11,5,0.94,218.10001,462.366,0.0,30,3,15,5,0,0,2,1,3,0,12,0,0,0,0,0,0,13,0,0.15625,0,0
10363.0,S(=O)(=O)(OC1=C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1=O)O,NAPROC-13,9,5,1.464,174.73,382.302,0.0,26,3,11,3,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.10714286,0,0
10364.0,S(=O)(=O)(OC1=C(c2cc(O)c(O)cc2)Oc2c(c(O)c(OC)c(O)c2)C1=O)O,NAPROC-13,10,5,1.4726,183.96001,412.328,0.0625,28,3,12,4,0,0,2,1,3,0,12,0,0,0,0,0,0,11,0,0.13333334,0,0
10365.0,S(=O)(=O)(Oc1c(O)ccc(C2=C(OS(=O)(=O)O)C(=O)c3c(O)cc(O)cc3O2)c1)O,NAPROC-13,11,5,0.94,218.10001,462.366,0.0,30,3,15,5,0,0,2,1,3,0,12,0,0,0,0,0,0,13,0,0.15625,0,0
10366.0,S(=O)(=O)(Oc1c(O)ccc(C2=C(OS(=O)(=O)O)C(=O)c3c(O)c(OC)c(O)cc3O2)c1)O,NAPROC-13,12,5,0.94859999,227.33,492.392,0.0625,32,3,16,6,0,0,2,1,3,0,12,0,0,0,0,0,0,14,0,0.17647059,0,0
