ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
DB00676,O=C(OCc1ccccc1)c1ccccc1,FDA,2,0,3.0436001,26.299999,212.248,0.071428575,16,2,2,3,0,0,2,0,2,0,12,0,0,0,0,0,0,2,0,0.23529412,0,0
DB00677,P(F)(=O)(OC(C)C)OC(C)C,FDA,3,0,2.914,35.529999,184.147,1.0,11,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0.40000001,0,1
DB00678,Clc1c(CO)n(Cc2ccc(-c3c(-c4n[nH]nn4)cccc3)cc2)c(CCCC)n1,FDA,6,2,4.2667999,92.510002,422.92001,0.27272728,30,4,8,8,0,0,2,2,4,0,22,0,0,1,0,0,6,1,0,0.24242425,0,1
DB00679,S(C)c1cc2N(CCC3N(C)CCCC3)c3c(Sc2cc1)cccc3,FDA,4,0,5.8856001,6.48,370.58701,0.42857143,25,4,4,4,0,2,2,0,2,0,12,0,0,0,0,0,2,0,0,0.14285715,1,0
DB00680,O=C(OCC)Nc1cc2N(C(=O)CCN3CCOCC3)c3c(Sc2cc1)cccc3,FDA,6,1,4.1065998,71.110001,427.526,0.36363637,30,4,8,5,0,2,2,0,2,0,12,0,0,0,0,0,3,4,0,0.24242425,0,0
DB00681,O=C(O)C1[C@@](O)C[C@]2(O)O[C@]1C[C@@](O[C@]1[C@@](O)[C@@](N)[C@](O)[C@@](C)O1)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@](C)[C@@](O)[C@@](C)[C@](C)OC(=O)C[C@](O)C[C@](O)CC[C@@](O)[C@](O)C[C@](O)C2,FDA,17,12,0.71170002,319.60999,924.091,0.65957445,65,3,18,3,0,3,0,0,0,0,0,0,0,0,0,0,1,17,0,0.044776119,19,0
DB00682,O=C(CC(c1ccccc1)C=1C(=O)Oc2c(C=1O)cccc2)C,FDA,4,1,3.6096001,67.510002,308.33301,0.15789473,23,3,4,4,0,0,2,1,3,0,12,0,0,0,0,0,0,4,0,0.16,1,0
DB00683,Clc1cc2C(c3c(F)cccc3)=NCc3n(c(C)nc3)-c2cc1,FDA,3,0,4.3242202,30.18,325.77399,0.11111111,23,4,5,1,0,1,2,1,3,0,17,0,0,1,1,0,3,0,0,0.03846154,0,2
DB00684,O([C@@]1[C@@](O)[C@](O[C@@]2[C@](N)C[C@](O)[C@@](CN)O2)[C@@](N)C[C@]1N)[C@@]1[C@](O)[C@@](N)[C@](O)[C@@](CO)O1,FDA,14,10,-6.2958002,268.17001,467.51999,1.0,32,3,14,6,1,2,0,0,0,0,0,0,0,0,0,0,5,9,0,0.17647059,14,0
DB00685,Fc1c(N2c3nc(N4C[C@]5C(N)[C@]5C4)c(F)cc3C(=O)C(C(=O)O)=C2)ccc(F)c1,FDA,6,2,1.8945,101.45,416.35901,0.25,30,5,10,3,1,1,1,2,3,0,12,0,0,0,3,0,4,3,0,0.088235296,2,3
DB00686,S(=O)(=O)(O[C@@]1[C@@](OS(=O)(=O)O)[C@](O)CO[C@]1O[C@]1[C@](OS(=O)(=O)O)[C@@](OS(=O)(=O)O)[C@](O)OC1)O,FDA,17,6,-4.8105998,322.54999,602.50098,1.0,35,2,25,10,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0.27777779,8,0
DB00687,F[C@@]12[C@]3(C)C(=CC(=O)CC3)CC[C@]1[C@]1[C@@](C)([C@@](O)(C(=O)CO)CC1)C[C@@]2O,FDA,5,3,1.8737,94.830002,380.45599,0.80952382,27,4,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0.06666667,7,1
DB00688,O=C(OCCN1CCOCC1)CC/C(=C/Cc1c(OC)c(C)c2c(c1O)c(O)oc2)/C,FDA,8,2,3.3054199,101.6,433.50101,0.52173913,31,3,8,9,0,1,1,1,2,0,9,0,0,0,0,0,1,7,0,0.30303031,0,0
DB00689,O=C(NC1C(=O)N2C(C(=O)O)C(=COC(=O)C)CSC12)C(N)c1ccccc1,FDA,7,3,-0.0135,139.03,405.43201,0.33333334,28,3,10,5,0,2,1,0,1,0,6,0,0,0,0,0,3,6,0,0.23333333,4,0
DB00690,Clc1cc2C(c3c(F)cccc3)=NCC(=O)N(CCN(CC)CC)c2cc1,FDA,3,0,4.0049,35.91,387.88599,0.33333334,27,3,6,6,0,1,2,0,2,0,12,0,0,1,1,0,3,1,0,0.20689656,0,2
DB00691,O=C(OCC)C(NC(C(=O)N1C(C(=O)O)Cc2c(cc(OC)c(OC)c2)C1)C)CCc1ccccc1,FDA,7,2,2.5843,114.4,498.57599,0.44444445,36,3,9,11,0,1,2,0,2,0,12,0,0,0,0,0,2,7,0,0.34210527,3,0
DB00692,Oc1cc(N(CC2=NCCN2)c2ccc(C)cc2)ccc1,FDA,4,2,2.84042,47.860001,281.35901,0.23529412,21,3,4,4,0,1,2,0,2,0,12,0,0,0,0,0,3,1,0,0.17391305,0,0
DB00693,O=C1OC2(c3c1cccc3)c1c(Oc3c2ccc(O)c3)cc(O)cc1,FDA,5,2,3.6658001,75.989998,332.311,0.050000001,25,5,5,0,0,2,3,0,3,0,18,0,0,0,0,0,0,5,0,0.0,0,0
DB00694,O=C(C)[C@]1(O)C=C2C(O)=C3C(O)=C4C(=C(O)C3=C(O)C2=C(O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)C1)C(OC)=CC=C4,FDA,11,7,0.2762,192.16,527.526,0.37037036,38,5,11,4,1,1,3,0,3,0,0,0,0,0,0,0,1,10,0,0.095238097,5,0
DB00695,Clc1c(S(=O)(=O)N)cc(C(=O)O)c(NCc2occc2)c1,FDA,5,3,1.8907,122.63,330.74899,0.083333336,21,2,9,5,0,0,1,1,2,0,11,0,0,1,0,0,2,5,0,0.22727273,0,1
DB00696,O=C(N[C@@]1(C)C(=O)N2[C@@](O)(O1)[C@]1N(C(=O)C2Cc2ccccc2)CCC1)C1=CC2c3c4c([nH]cc4CC2N(C)C1)ccc3,FDA,6,3,2.0012,118.21,581.67297,0.42424244,43,8,10,4,1,4,2,1,3,0,15,0,0,0,0,0,5,5,0,0.1,6,0
DB00697,Clc1c(NC2=NCCN2)c2nsnc2cc1,FDA,6,2,1.7158,62.200001,253.718,0.22222222,16,3,7,1,0,1,1,1,2,0,9,0,0,1,0,0,5,0,0,0.11111111,0,1
DB00698,O=[N+]([O-])c1oc(/C=N/N2C(=O)NC(O)=C2)cc1,FDA,7,2,0.26539999,126.66,238.159,0.0,17,2,9,3,0,0,0,2,2,0,5,0,0,0,0,0,4,5,0,0.16666667,0,0
DB00699,Brc1cc(C(=O)OC[C@]2CN(C)[C@]3[C@@](OC)(c4c5c(n(C)cc5C3)ccc4)C2)cnc1,FDA,6,0,3.9109001,56.59,484.39401,0.41666666,31,5,7,4,1,1,1,2,3,0,15,0,1,0,0,0,3,3,0,0.14285715,3,1
DB00700,O=C(OC)C1=CC2[C@@](C)([C@@]34O[C@@]3C[C@]3(C)[C@@]5(OC(=O)CC5)CC[C@]3C14)CCC(=O)C2,FDA,6,0,3.1245,82.199997,414.49799,0.79166669,30,6,6,1,4,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0.057142857,8,0
DB00701,S(=O)(=O)(N(C[C@@](O)[C@@](NC(=O)O[C@@]1COCC1)Cc1ccccc1)CC(C)C)c1ccc(N)cc1,FDA,7,3,2.4028001,131.19,505.63699,0.47999999,35,3,10,11,0,1,2,0,2,0,12,0,0,0,0,0,3,6,0,0.35135135,3,0
DB00703,S(=O)(=O)(N)C=1S/C(=N/C(=O)C)/N(C)N=1,FDA,6,1,-1.4238,107.41,236.278,0.40000001,14,1,9,1,0,0,0,1,1,0,0,0,0,0,0,0,4,3,0,0.14285715,0,0
DB00704,O=C1C2Oc3c(O)ccc4c3[C@@]32[C@](O)([C@](N(CC2CC2)CC3)C4)CC1,FDA,5,2,1.5254,70.0,341.40701,0.64999998,25,6,5,2,3,2,1,0,1,0,6,0,0,0,0,0,1,4,0,0.06666667,4,0
DB00705,S(=O)(=O)(Nc1cc2c([nH]c(C(=O)N3CCN(c4c(NC(C)C)cccn4)CC3)c2)cc1)C,FDA,6,3,2.7170999,110.43,456.57199,0.36363637,32,4,10,6,0,1,1,2,3,0,15,0,0,0,0,0,6,3,0,0.2,0,0
DB00706,S(=O)(=O)(N)c1c(OC)ccc(C[C@](NCCOc2c(OCC)cccc2)C)c1,FDA,6,2,2.3408999,99.879997,408.51999,0.40000001,28,2,8,11,0,0,2,0,2,0,12,0,0,0,0,0,2,5,0,0.37931034,1,0
DB00708,O=C(N(c1ccccc1)C1(COC)CCN(CCc2sccc2)CC1)CC,FDA,4,0,4.2147999,32.779999,386.561,0.5,27,3,5,8,0,1,1,1,2,0,11,0,0,0,0,0,2,2,0,0.31034482,0,0
DB00709,O=C1N([C@]2O[C@@](CO)SC2)C=CC(=N)N1,FDA,6,3,-0.76372999,91.099998,229.261,0.5,15,2,7,2,0,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0.125,2,0
DB00710,[P+]([OH0])(=O)([O-])C([P+]([OH0])(=O)[O-])(O)CCN(CCCCC)C,FDA,6,3,0.84100002,132.21001,319.23099,1.0,19,0,10,9,0,0,0,0,0,6,0,0,0,0,0,0,1,7,2,0.5,0,0
DB00711,O=C(N(CC)CC)N1CCN(C)CC1,FDA,2,0,0.69559997,26.790001,199.298,0.89999998,14,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0.2857143,0,0
DB00712,Fc1c(-c2ccccc2)ccc(C(C(=O)O)C)c1,FDA,1,1,3.6808,37.299999,244.265,0.13333334,18,2,3,3,0,0,2,0,2,0,12,0,0,0,1,0,0,2,0,0.15789473,1,1
DB00713,O=C(NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@]12)c1c(C)onc1-c1ccccc1,FDA,6,2,1.8953201,112.74,401.444,0.36842105,28,4,9,4,0,2,1,1,2,0,11,0,0,0,0,0,3,5,0,0.16129032,3,0
DB00714,Oc1c(O)ccc2c1-c1c3c(ccc1)CCN(C)[C@@]3C2,FDA,3,2,2.8499,43.700001,267.328,0.29411766,20,4,3,0,1,1,2,0,2,0,12,0,0,0,0,0,1,2,0,0.0,1,0
DB00715,Fc1ccc([C@]2[C@](COc3cc4OCOc4cc3)CNCC2)cc1,FDA,4,1,3.3264999,39.720001,329.371,0.36842105,24,4,5,4,0,2,2,0,2,0,12,0,0,0,1,0,1,3,0,0.14814815,2,1
DB00716,O=C(O)C=1N(CC)c2c(CCC)c3OC(C(=O)O)=CC(=O)c3cc2C(=O)C=1,FDA,6,2,2.4767001,126.81,371.345,0.2631579,27,3,8,5,0,0,1,2,3,0,6,0,0,0,0,0,1,7,0,0.1724138,0,0
