ID,Solvent,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,a_nP,b_rotR,chiral
9475,C,O=C(OC[C@@]12C(=O)CC[C@]1[C@@](C)CC[C@]1C(C)C(=O)O[C@@]21)C,5,0,2.1226001,69.669998,308.37399,0.82352942,22,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.125,6
9476,A,O=C(O[C@@]1[C@@]2[C@](C)([C@@](O)[C@@]3C(=C)C(=O)O[C@@]3C[C@]2C)[C@](O)C1)C,6,2,0.80369997,93.059998,324.37299,0.7647059,23,3,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0.079999998,8
9477,C,O=C(O[C@@]1[C@]2(C)C(=O)CC=C2[C@](C)CC2OC(=O)C(C)C12)C(=CC)C,5,0,2.9874001,69.669998,346.423,0.64999998,25,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.11111111,6
9478,C,O=C(O[C@@]1[C@]2(C)C(=O)CC=C2[C@](C)[C@@](O)[C@]2OC(=O)C(C)[C@@]12)C(=C)C,6,1,1.5681,89.900002,348.39499,0.63157892,25,3,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0.11111111,7
9479,C,O[C@]1(C)C(C)(C)[C@]2[C@]3([C@](C)CC2)C[C@]1CC3,1,1,3.6098001,20.23,222.37199,1,16,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
9480,C,OC[C@]1C(C)(C)[C@]2[C@]3([C@](C)CC2)C[C@]1CC3,1,1,3.4672999,20.23,222.37199,1,16,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.055555556,5
9481,P,O=C1[C@](O)[C@]23[C@@](O)([C@@]4(C)C(C(=O)OC4)[C@](O1)C2)[C@](O)C[C@]3C,7,3,-1.0261,113.29,312.31799,0.86666667,22,4,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8
9482,P,O=C1[C@@]2([C@@]3(O)[C@](O)C[C@@](C)[C@]43[C@@](O)C(=O)O[C@@]([C@@]2(O)C)C4)CO1,8,4,-1.9112,133.52,328.31699,0.86666667,23,4,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8
9483,P,O=C1[C@@]2(O)[C@](C)([C@@]3(O)[C@](O)C[C@@](C)[C@]43[C@@](O)C(=O)O[C@@]2C4)CO1,8,4,-1.9112,133.52,328.31699,0.86666667,23,4,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8
9484,C,O=C(O)[C@]1(C=C)CC=2[C@]([C@@]3(C)[C@@](C(C)(C)CCC3)CC=2)CC1,1,1,5.2062001,37.299999,302.45801,0.75,22,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.083333336,4
9485,C,O=C1C2=C([C@]3(C)[C@](C(C)(C)CCC3)C1)CC[C@](C)(C1OC1)C2,2,0,4.6774001,29.6,302.45801,0.85000002,22,4,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.039999999,4
9486,C,O=C1C2[C@]3(C)[C@](C(C)(C)CCC3)CC(=O)C2C[C@](C=C)(C)C1,2,0,4.5794001,34.139999,302.45801,0.80000001,22,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.041666668,5
9489,C,O=C1[C@]2(O)[C@@]([C@]3(C)[C@](C(C)(C)CCC3)C1)CC[C@@](C=C)(C)C2,2,1,4.5152998,37.299999,304.474,0.85000002,22,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.041666668,5
9490,C,OC[C@@]1(C)[C@@](O)CC[C@@]2(C)[C@]1CC=C1[C@@]2CC[C@@](C=C)(C)C1,2,2,4.0847001,40.459999,304.474,0.80000001,22,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.083333336,6
9491,C,OC[C@@]1(C)[C@@](O)CC[C@]2(C)C3=C(C[C@](C=C)(C)CC3)CC[C@@]12,2,2,4.2287998,40.459999,304.474,0.80000001,22,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.083333336,5
9495,C,OC[C@@]1(C)[C@]2[C@@](C)([C@@]3C(=C[C@](C=C)(C)CC3)CC2)C[C@@](O)C1,2,2,4.0847001,40.459999,304.474,0.80000001,22,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.083333336,6
9496,C,O[C@]1[C@@](C=C)(C)C=C2[C@]([C@@]3(C)[C@@](C(C)(C)[C@](O)CC3)CC2)C1,2,2,4.0830998,40.459999,304.474,0.80000001,22,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.041666668,6
9499,C,O=C1[C@@]2(C)C(=O)CC[C@@]3(C)[C@]2[C@](O1)C=C1[C@@]3CC[C@](C=C)(C)C1,3,0,3.8359001,43.369999,314.42499,0.69999999,23,4,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0.03846154,6
9501,C,O=C1C(C)[C@]2[C@](O1)C1=C(C)[C@](O)CC[C@]1(C)[C@@](O)C2,4,2,1.4062001,66.760002,266.33701,0.80000001,19,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
9502,A,O=C1C(C)[C@]2[C@@]([C@@]3(O)C(=C)CCC[C@]3(C)[C@@](O)C2)O1,4,2,1.4062001,66.760002,266.33701,0.80000001,19,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
9503,C,O=C1C(C(O)(C)C)=CC2[C@@](O)(C)[C@](O)CC[C@]2(C)C1,4,3,1.1847,77.760002,268.353,0.80000001,19,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.050000001,4
9505,C,O=C(O[C@]1c2c(C)coc2C[C@]2(C)[C@@]1C(=C)C1C2C1)C,3,0,3.57672,39.439999,272.34399,0.58823532,20,4,3,1,3,0,0,1,1,0,5,0,0,0,0,0,0,3,0,0.086956523,5
9506,C,O=C(OCC1=CC=C[C@]2(C)C1Cc1c(C)coc1C2)C,3,0,3.3684199,39.439999,272.34399,0.47058824,20,3,3,2,2,0,0,1,1,0,5,0,0,0,0,0,0,3,0,0.13636364,2
9507,C,O=C(O[C@]1[C@@]2(C)C(=O)CC[C@@](C)[C@@]2C[C@](C(=C)C)C1)C,3,0,3.5257001,43.369999,278.392,0.7647059,20,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.14285715,5
9508,C,O=C(O[C@@]1[C@](C(C)C)CC[C@@]2(C)C(O)CCC(=C)[C@]12)C,3,1,3.3175001,46.529999,280.40799,0.82352942,20,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.14285715,5
9509,C,O=C(O[C@@]1[C@](C(C)C)CC[C@]2(C)[C@@]1[C@@]1(C)O[C@@]2CC1)C,3,0,3.5579,35.529999,280.40799,0.94117647,20,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0.13636364,6
9510,C,O=C(OC)C(=C)C1[C@](O)[C@]2[C@@](O)(C)CCC[C@]2(C)CC1,4,2,2.0439,66.760002,282.38,0.8125,20,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.14285715,5
9511,D,OC[C@@]12[C@](O)[C@](O)[C@@]3C(C)(C)O[C@@]1([C@@](C)CC[C@]2O)C3,5,4,0.045200001,90.150002,286.36801,1,20,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.045454547,7
9512,D,OC1[C@@]2(C)[C@](O)CC[C@](C)[C@@]32[C@@](O)[C@@](C(C)(C)O3)[C@]1O,5,4,0.0436,90.150002,286.36801,1,20,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8
9513,D,O[C@]1[C@@]2(C)[C@](O)[C@@](O)C[C@](C)[C@]32OC(C)(C)[C@@]([C@@]1O)C3,5,4,0.0436,90.150002,286.36801,1,20,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8
9514,C,O=C(O)C(=C)C1C[C@](OC(=O)C)[C@]2(C)C(=C(C)CCC2)C1,3,1,3.4756,63.599998,292.375,0.64705884,21,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.18181819,3
9515,D,O=C(O[C@@]1C(C(O)(C)C)C[C@]2[C@@](O)(C)CCC[C@]2(C)C1)C,4,2,2.6564,66.760002,298.423,0.94117647,21,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.13636364,5
9520,C,Br[C@@]1[C@]2(C)[C@]([C@@](O)(C)CC1)CC(C(C)C)=CC2,1,1,4.2933998,20.23,301.26801,0.86666667,17,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.055555556,4
9521,C,Br[C@@]1C[C@@]2(C)[C@@](O)([C@](C)C1)C=C(C(C)C)CC2,1,1,4.2933998,20.23,301.26801,0.86666667,17,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.055555556,4
9522,D,OC[C@@]12[C@](O)[C@@](O)[C@@]3C(C)(C)O[C@]1([C@]3O)[C@@](C)CC[C@]2O,6,5,-0.98400003,110.38,302.367,1,21,3,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0.043478262,8
9524,C,O=C(O[C@@]1[C@]2(C)[C@](C(=C)C(=O)C=C2)[C@]2OC(=O)C(=C)[C@@]2C1)C,5,0,1.7372,69.669998,302.32599,0.47058824,22,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.083333336,5
9525,C,O=C(O[C@]1[C@@]2(C)[C@](C(=C)CC1)CC1=C(C)C(=O)O[C@@]1(O)C2)C,5,1,2.2463,72.830002,306.358,0.64705884,22,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.083333336,4
9526,C,O=C(O[C@]1[C@]2[C@]3(C(=O)O[C@@]2[C@]2C(C)=CCC[C@]2(C)C1)OC3)C,5,0,1.995,65.129997,306.358,0.7647059,22,4,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0.079999998,6
9527,C,O=C(O[C@@]1[C@@]2(C)[C@](C(C)=C[C@]1O)C[C@@]1C(=C)C(=O)O[C@@]1C2)C,5,1,1.753,72.830002,306.358,0.64705884,22,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.083333336,6
9528,C,C(C)(C)C1=CC[C@@]2(C)[C@]([C@@]3(C)Oc4c(cccc4)C[C@]3CC2)C1,1,0,5.7888999,9.2299995,310.48099,0.63636363,23,4,1,1,2,1,1,0,1,0,6,0,0,0,0,0,0,1,0,0.03846154,4
9529,C,O=C(OCC(COC(=O)C)=C1CC2=C(C)CCC[C@]2(C)CC1)C,4,0,4.0998001,52.599998,320.42899,0.68421054,23,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.25,1
9530,C,Br[C@@]1[C@]2(C)[C@]([C@@](O)(C)CC1)C[C@@](Cl)(C(C)C)CC2,1,1,4.7347002,20.23,337.729,1,18,2,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.052631579,5
9531,C,O=C(O[C@]1[C@]2C(=C)C(=O)O[C@@]2[C@]2C(C)=CC[C@@](O)[C@]2(C)C1)C(=CC)C,5,1,2.6993001,72.830002,346.423,0.60000002,25,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.11111111,6
9532,C,O=C(O[C@]1[C@]2C(=C)C(=O)O[C@@]2C=2[C@](C)([C@](O)CCC=2C)C1)C(=CC)C,5,1,2.8434,72.830002,346.423,0.60000002,25,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.11111111,5
9533,C,O=C(O[C@]1[C@]2C(=C)C(=O)O[C@@]2[C@]2C(=C)CC[C@@](O)[C@]2(C)C1)C(=CC)C,5,1,2.6993001,72.830002,346.423,0.60000002,25,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.11111111,6
9534,M,O=C(OC[C@]1[C@](c2cc(OC)c(O[C@]3[C@](O)[C@@](O)[C@](O)[C@@](CO)O3)cc2)Oc2c(OC)cc(CCCO)cc12)C1CC(=O)C(O)C(O)C1,15,7,-0.73119998,231.13,678.68402,0.57575756,48,5,15,12,1,2,2,0,2,0,12,0,0,0,0,0,0,15,0,0.25,10
9535,C,O=C(OC)C(=C)C1[C@](O)[C@]2C(=C)CCC[C@]2(C)CC1,3,1,2.8491001,46.529999,264.36499,0.6875,19,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.15000001,4
9536,M,O=C1O[C@@](O)[C@@]2[C@]3(C)[C@](C(C)(C)CCC3)CC=C12,3,1,2.6405001,46.529999,250.338,0.80000001,18,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
9537,B,Oc1occ2c1[C@]1(C)[C@](C(C)(C)C[C@](O)C1)CC2,3,2,2.9862001,53.599998,250.338,0.73333335,18,3,3,0,2,0,0,1,1,0,5,0,0,0,0,0,0,3,0,0,3
9538,B,O[C@@]1OCC=2[C@]1[C@]1(C)[C@](C(C)(C)CCC1)[C@@](O)C=2,3,2,2.0847001,49.689999,252.354,0.86666667,18,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
9539,B,O=C1[C@]2(O)[C@@]([C@]3(C)[C@](C(C)(C)CCC3)CC2)[C@](O)O1,4,2,1.8353,66.760002,268.353,0.93333334,19,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
9540,M,Oc1oc(O)c2c1[C@]1(C)[C@](C(C)(C)[C@@](O)CC1)C=C2,4,3,2.7723999,73.830002,264.32101,0.60000002,19,3,4,0,2,0,0,1,1,0,5,0,0,0,0,0,0,4,0,0,3
9541,M,OC[C@@]1(C)[C@]2[C@@](C)(c3c(O)oc(O)c3C=C2)CCC1,4,3,2.7739999,73.830002,264.32101,0.60000002,19,3,4,1,2,0,0,1,1,0,5,0,0,0,0,0,0,4,0,0.047619049,3
9542,M,O=C1C2C(C)(C)CCC[C@]2(C)c2c(O)oc(O)c2C1,4,2,2.9000001,70.669998,264.32101,0.66666669,19,3,4,0,2,0,0,1,1,0,5,0,0,0,0,0,0,4,0,0,2
9543,B,Oc1oc(O)c2c1[C@]1(C)[C@](C(C)(C)CCC1)C=C2,3,2,3.8016,53.599998,248.32201,0.60000002,18,3,3,0,2,0,0,1,1,0,5,0,0,0,0,0,0,3,0,0,2
9544,B,O(CC)c1oc(O)c2[C@]3(C)[C@](C(C)(C)CCC3)CC(O)c12,4,2,3.905,62.830002,294.39099,0.7647059,21,3,4,2,2,0,0,1,1,0,5,0,0,0,0,0,0,4,0,0.086956523,3
9545,B,O(CC)c1oc(O)c2[C@](O)C[C@]3C(C)(C)CCC[C@]3(C)c12,4,2,3.905,62.830002,294.39099,0.7647059,21,3,4,2,2,0,0,1,1,0,5,0,0,0,0,0,0,4,0,0.086956523,3
9547,B,Oc1oc(O)c2[C@](O)C[C@]3C(C)(C)CCC[C@]3(C)c12,4,3,3.2119,73.830002,266.33701,0.73333335,19,3,4,0,2,0,0,1,1,0,5,0,0,0,0,0,0,4,0,0,3
9549,B,O[C@@]1OC[C@@]23O[C@@]2[C@](O)[C@]2C(C)(C)CCC[C@]2(C)[C@@]13,4,2,1.2959,62.220001,268.353,1,19,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
9550,C,O[C@@]1OCC=2[C@]1[C@]1(C)[C@](C(C)(C)CCC1)CC=2,2,1,3.1138999,29.459999,236.355,0.86666667,17,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
9551,C,Oc1oc(O)c2c1[C@]1(C)[C@](C(C)(C)CCC1)CC2,3,2,3.721,53.599998,250.338,0.73333335,18,3,3,0,2,0,0,1,1,0,5,0,0,0,0,0,0,3,0,0,2
9552,C,O[C@@]1OCC=2[C@]1[C@]1(C)[C@](C(C)(C)C[C@](O)C1)CC=2,3,2,2.0847001,49.689999,252.354,0.86666667,18,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
9554,C,O=C1[C@]2(C)C(C(C)(C)CCC2)=CCC1,1,0,3.4921,17.07,192.302,0.76923078,14,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9555,C,O[C@@]1OC[C@@]2[C@]3(C)[C@](C(C)(C)CCC3)CC[C@]12,2,1,3.1938,29.459999,238.371,1,17,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
9556,C,OC[C@@]1[C@]2(C)[C@](C(C)(C)CCC2)CC[C@@]1CO,2,2,2.8297999,40.459999,240.38699,1,17,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.11111111,4
9557,C,O=C(OC[C@@]1[C@]2(C)[C@](C(C)(C)CCC2)CC[C@@]1COC(=O)C)C,4,0,3.9714,52.599998,324.461,0.89473683,23,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.25,4
9558,C,O[C@]1OC=C2[C@]1[C@]1(C)[C@](C(C)(C)CCC1)CC2,2,1,3.4614999,29.459999,236.355,0.86666667,17,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
9559,C,O=C(OCC1=C(C)CC[C@]2C(C)(C)CCC[C@]12C)C,2,0,4.4924002,26.299999,264.409,0.82352942,19,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.15000001,2
9560,C,O=C(OC=C1[C@]2(C)[C@](C(C)(C)CCC2)CC(=O)C1C)C,3,0,3.8749001,43.369999,278.392,0.7647059,20,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.095238097,3
