ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
DB04948,Clc1c(OC(C)C2=NCCN2)c(Cl)ccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61e00>,c1ccc(OCC2=NCCN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f5a0>
DB04951,O=C1N(c2ccccc2)C=C(C)C=C1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61e70>,O=c1ccccn1-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f610>
DB04953,Fc1ccc(CNc2cc(N)c(NC(=O)OCC)cc2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61ee0>,c1ccc(CNc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f680>
DB05013,O=C(O[C@@]1[C@@]2(O)[C@](O)C(CO)C=C3C(=O)[C@@]2([C@](C)C[C@]2C(C)(C)[C@@]32)C=C1C)C(=CC)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61f50>,O=C1C2=CC[CH]C3[CH]C=C[C@]13[CH]C[C]1C[C]12,<rdkit.Chem.rdchem.Mol object at 0x7a508231f6f0>
DB05015,S(=O)(=O)(Nc1ccccc1)c1cc(/C=C/C(O)=NO)ccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61fc0>,O=S(=O)(Nc1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f760>
DB05016,Fc1c(-c2onc(-c3cc(C(=O)O)ccc3)n2)cccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f62030>,c1ccc(-c2noc(-c3ccccc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f7d0>
DB05018,OC[C@@]1[C@](O)[C@](O)[C@@](O)CN1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f620a0>,[CH]1[CH][CH]NC[CH]1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f840>
DB05039,O=C1Nc2c(O)ccc(C(O)CNC3Cc4c(cc(CC)c(CC)c4)C3)c2C=C1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f62110>,O=c1ccc2c(CCNC3Cc4ccccc4C3)cccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f8b0>
DB05057,S(CC(=O)O)CC(=O)NC1C(=O)SCC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f62180>,O=C1CCCS1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f920>
DB05087,O=C(C)C1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](C[C@@](O)(C)CC4)CC3)CC2)CC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f621f0>,C1CCC2[C](C1)CC[C]1[C]3CCCC3CC[C]12,<rdkit.Chem.rdchem.Mol object at 0x7a508231f990>
DB05109,O=C(Oc1c(C)c2OCOc2c2c1[C@]1SC[C@@]3(C(=O)OC[C@@]2N2[C@@](O)[C@]4N(C)[C@](c5c(O)c(OC)c(C)cc5C4)[C@]12)NCCc1c3cc(OC)c(O)c1)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f62260>,O=C1OC[C]2c3c(ccc4c3OCO4)[C](SC[C@]13NCCc1ccccc13)[C]1[C]3N[C]([CH]N12)Cc1ccccc13,<rdkit.Chem.rdchem.Mol object at 0x7a508231fa00>
