ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
UNPD_subset_A_1719,O=C(NC[C@@](O)c1ccc(O)cc1)C=Cc1ccc(O)cc1,UNPD-A,4,4,1.9608001,89.790001,299.32599,0.11764706,22,2,5,5,0,0,2,0,2,0,12,0,0,0,0,0,1,4,0,0.26086956,1,0
UNPD_subset_A_1720,O=C(O)C(N)CC/C(=C/CCC[C@](N)C(=O)O)/CNCCCC[C@](N)C(=O)O,UNPD-A,7,7,-0.1411,201.99001,402.492,0.72222221,28,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0.62962961,3,0
UNPD_subset_A_1721,O=C(OC)[C@]12c3[nH]c4c(c3CCN3[C@]1[C@@]([C@@](O)C)C[C@](C2)C3)cccc4,UNPD-A,4,2,2.2260001,65.559998,354.45001,0.5714286,26,6,5,2,1,3,1,1,2,0,9,0,0,0,0,0,2,3,0,0.1,5,0
UNPD_subset_A_1722,O(C)C=1C(=O)[C@]2(C)[C@]3[C@]4(C)[C@](O)([C@@](C)[C@@]5OCO[C@@]35)CC(=O)O[C@@]4C[C@]2C(C)C=1,UNPD-A,7,1,1.822,91.290001,406.47501,0.81818181,29,5,7,1,3,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0.030303031,10,0
UNPD_subset_A_1723,O=C(OCC1=C(OC)C(CO)=C(/C=C/C)OC1=O)C,UNPD-A,6,1,1.2369,85.970001,268.26501,0.38461539,19,1,6,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0.31578946,0,0
UNPD_subset_A_1724,O(C)c1c(OC)c(C)c2OC(c3cc(O)c(O)cc3)=C(OC)C(=O)c2c1O,UNPD-A,8,3,2.91102,118.59,374.345,0.21052632,27,3,8,4,0,0,2,1,3,0,12,0,0,0,0,0,0,8,0,0.13793103,0,0
UNPD_subset_A_1725,O=C(C=Cc1ccc(O)cc1)c1c(O)c(C[C@@](O)C(=C)C)c(O)cc1,UNPD-A,5,4,3.1789999,97.989998,340.375,0.15000001,25,2,5,6,0,0,2,0,2,0,12,0,0,0,0,0,0,5,0,0.23076923,1,0
UNPD_subset_A_1726,O=C(O[C@]1C[C@](O)C[C@](O)[C@@](C)[C@](O)/C=C/C=C/[C@@](C)[C@]([C@](C[C@](CCC/C=C/CCCNC(=NC)N)C)C)OC(=O)C(C)[C@](O)CC[C@@](C)[C@](O)C[C@@](O)[C@](C)[C@](O)CC[C@](C)[C@@](O)C[C@]2(O)[C@](O)[C@@](O)C[C@@](O2)C1)CC(=O)O,UNPD-A,18,14,3.5278001,372.07001,1144.4919,0.83050847,80,2,21,14,0,2,0,0,0,0,0,0,0,0,0,0,3,18,0,0.19753087,22,0
UNPD_subset_A_1727,O=C(O)[C@]1(C)[C@@](O)CC[C@]2(C(=O)O)[C@@]1C(C(=O)O)[C@@]13[C@]2C[C@](O)[C@@](C(=C)C1)C3,UNPD-A,5,5,0.96700001,152.36,394.42001,0.75,28,4,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.096774191,9,0
UNPD_subset_A_1728,O=C1C(C=C(CC[C@]2[C@@](O)(C)C[C@@]3OC(=O)[C@@]4(C)[C@]3[C@]2(C)CCC4)C)C(=O)CC1C,UNPD-A,5,1,4.0160999,80.669998,416.55801,0.80000001,30,4,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.12121212,8,0
